# timestamp tx ty tz qx qy qz qw
0 -0.013547241392212299 -0.028502052557593655 0.047482682498766846 -0.001485541011664127 -0.10899834414059385 0.040071210549899955 0.9932328288108366
6 -0.02330202885457638 -0.031974210315591285 0.04750775065714429 -0.021453937890232876 -0.09019710289424569 0.04010499118122746 0.9948848178863925
13 -0.02090134983266847 -0.04463061974233175 0.0462707844038184 -0.05981198390880341 -0.08962422735150788 0.03505336729557893 0.9935599055385536
18 -0.02102552383522892 -0.046971920622251785 0.043502274813516525 -0.07596320912155638 -0.08890387321789245 0.03549936638947858 0.9925046534766258
24 -0.03063382688510417 -0.04830240865405642 0.05074842367233731 -0.08201053045381324 -0.06731642793816466 0.03178724000469234 0.9938472431904282
36 -0.01884925566858875 -0.049346312429783996 0.043193731625854874 -0.0991036714877164 -0.07628375944067427 0.03593059343093321 0.9914979792208117
45 -0.01794879384100992 -0.05143708616400034 0.04076566112680101 -0.11252391373030371 -0.06876974373841563 0.03926781727764295 0.9904883289121671
52 -0.018159888985015853 -0.053841354090847955 0.04048933510481192 -0.12264805727399797 -0.06228506817688969 0.03982700237258451 0.9896927978979783
61 -0.038337336640870544 -0.06746048256884604 0.0647759595479329 -0.1613883748679377 -0.03570562224343277 0.027628515555583967 0.9858577818965018
64 -0.03797100078880097 -0.06864560484889347 0.06306582518449046 -0.16493744638919608 -0.03528137740456114 0.02772546710433148 0.9852827825862454
74 -0.03838266653582747 -0.07185574723260878 0.0587788333531356 -0.18071870089878525 -0.029925610247957677 0.030867281104707378 0.9825947384114906
77 -0.03981184743462632 -0.07186826642372227 0.0640348965463766 -0.18842259049818938 -0.025623132035190913 0.027199417783561202 0.9813768767231548
79 -0.041625461849320144 -0.08082607232185349 0.0697844757130443 -0.21002451852527723 -0.02285928613719707 0.0239290493879712 0.9771358939527865
84 -0.053753541767367526 -0.0939699224255208 0.10986936769686613 -0.2734155578528975 0.013647635695814935 -0.008490541620532074 0.9617617092954435
87 -0.05181689287847733 -0.09967441404413346 0.15291515609997727 -0.3452969505659118 0.0342412883597681 -0.00726649912127317 0.9378404704915789
90 -0.05665889441481984 -0.11424666365694143 0.14996756716290494 -0.3614773335938853 0.040620692463395225 -0.0021652849466494307 0.9314931068895513
97 -0.0813099660092083 -0.12526534872010198 0.12929049280124644 -0.3753446742703429 0.07120527473268225 -0.011855268316656486 0.924070147207599
99 -0.08492532327304814 -0.11069286954134712 0.11053828688307475 -0.3384073136470885 0.07424075275330733 -0.0165989980084424 0.9379196521909002
101 -0.08798448383676209 -0.12063393187443068 0.12429389963210988 -0.3737655953376035 0.08179444161218762 -0.019603132076940463 0.9237016110606558
103 -0.10719295334536572 -0.12473665638344655 0.11386964550951392 -0.3754225757170053 0.12086894163796973 -0.02358518827770433 0.9186361235457877
106 -0.11372063701802136 -0.12617692327136146 0.11599387713338427 -0.3858864373189277 0.13231706769899249 -0.02436524214711711 0.9126829603230018
110 -0.11892409781203025 -0.12489610931110262 0.11263449146137484 -0.39056511627414336 0.13761268120719958 -0.030042799071508378 0.9097357144493556
122 -0.11388902058689342 -0.11917775813014986 0.10003701496885486 -0.3834707289879415 0.12857034148417162 -0.0221832935656844 0.9142908556836161
128 -0.10954396425572613 -0.11742026229994815 0.09630427906058345 -0.3818037215658861 0.12608981393571328 -0.013045845602600888 0.9155091932540108
131 -0.10816155614153652 -0.11577056998555818 0.09620526186649454 -0.38073448131863824 0.12326918286066398 -0.011464868316251984 0.9163593836952741
141 -0.09843312641775381 -0.11854827687831616 0.09313112136143975 -0.3851982076442207 0.11420257352962634 0.004866190475409891 0.9157272701067426
147 -0.0921112742977863 -0.12253556345423955 0.10044038099666888 -0.4013393468984178 0.10782535703439672 0.006976726703790764 0.90953380712102
