# timestamp tx ty tz qx qy qz qw
0 0.010628111971511317 0.03647526592091481 0.05675569731232815 0.13697672376610617 -0.009679056798888084 0.9896121568357139 -0.0425613915274637
1 0.01051038637198394 0.03641651331988294 0.05674575557210699 0.13782504833617715 -0.007054593743924155 0.9895487399035012 -0.041806460190161446
2 0.010376654458616713 0.03632584457602093 0.056642269748449166 0.13912584146218998 -0.0038370331080966017 0.9894091301558692 -0.04121711511703852
3 0.010342325565067314 0.03622794790972125 0.05651347258635917 0.140121864055617 -0.0010133327884432064 0.9892891828397284 -0.040887028340800075
4 0.010300899256150842 0.03619810541538163 0.056460278178507795 0.14074122505933698 0.00044798709242136744 0.9892080599508578 -0.04073230910005344
5 0.01029479444981871 0.036173777792984654 0.056437656841527885 0.1411199661797035 0.001193240297267199 0.9891578052811643 -0.04062717778018512
6 0.010291127779993985 0.03616493885597777 0.05642540522596494 0.14136283032394678 0.0015766776219917611 0.9891248779714322 -0.040571419354992755
7 0.010289774754940027 0.03616562090289085 0.05640902575049631 0.1414621358614574 0.0017675585610569667 0.9891113238483403 -0.04054785924351063
8 0.010278125467425752 0.03615922461907394 0.05640607869615178 0.1415515234554368 0.0018942255863270223 0.9890986833569384 -0.04053853350139781
9 0.010285196160067699 0.03615499663226899 0.056411472313389825 0.14154768372208448 0.0019133373637767045 0.9890996377651007 -0.04052775525478654
10 0.010284750764393039 0.03615426751179973 0.05641048788893397 0.1415716913630071 0.001954733015607204 0.9890963525084251 -0.040522101105256884
11 0.01028418474728187 0.03615339969775141 0.05640924032327723 0.14157422347060575 0.001963433625514639 0.989096006610955 -0.04052127692157406
12 0.01028622945653865 0.036158832585545725 0.05639946526291567 0.1415660199816209 0.0019504630958918105 0.9890971279251598 -0.04052319348811204
13 0.010276146231472466 0.0361553859382193 0.05640082749935198 0.14159988191702824 0.0019799609192336413 0.989092066798512 -0.04052698597342182
14 0.010338650742068694 0.03615369058894794 0.05641534853632879 0.1415311544279644 0.0019353649537143624 0.9891025252064529 -0.04051396449376228
15 0.010283419915316927 0.03615174204316474 0.05640692730660919 0.14157081419318202 0.001960408705519204 0.9890964723107781 -0.04052196723705596
16 0.010338435000309119 0.036153208732061556 0.05641470231551557 0.14153202354012462 0.0019367635593068714 0.9891024069082669 -0.040513749614498794
17 0.010230325903394032 0.036155642938831535 0.0563892253091675 0.1416085389274492 0.0019824590604289784 0.9890906837805677 -0.04053036907549456
18 0.010277836959073056 0.03616031493266996 0.0563901774242712 0.1415963634047509 0.0019755553647325557 0.9890925478751237 -0.040527753323455595
19 0.010283194437751036 0.03615128903079381 0.05640622984197444 0.14157346375753174 0.0019645810295237883 0.9890961093753917 -0.04052136719727419
20 0.010330710361333104 0.03615594660237446 0.056407207578988844 0.1415594962562587 0.0019560488193188764 0.9890982193289531 -0.040519074680758244
21 0.010285237985409595 0.036156854277027604 0.056396702829577865 0.14157002811898964 0.0019603932770352775 0.9890965800231569 -0.04052208512752614
22 0.010283083552120615 0.036151121492699306 0.05640601794459497 0.14157091900785534 0.001961786792535271 0.9890964588126042 -0.04052186382952344
23 0.010222576924902796 0.0361584529204332 0.05638160246308735 0.1416352291568724 0.002000605808697929 0.98908659995967 -0.04053587569423198
24 0.010275593434962503 0.0361540922043373 0.05639888703362146 0.14159561010722826 0.0019755408487340284 0.9890926515920265 -0.04052785466035337
25 0.010283097464275897 0.0361508868993958 0.056405709927424025 0.14156813324872816 0.001957399015111754 0.9890968408184573 -0.04052248413551828
26 0.010283097464275897 0.0361508868993958 0.056405709927424025 0.14157191355093884 0.0019633708146186714 0.989096322876741 -0.040521630523459515
27 0.010229991393349793 0.03615508135645689 0.05638845278209112 0.14160879359710607 0.0019840323270072235 0.9890906494910121 -0.04053023909558697
28 0.0102754874172349 0.03615391024398491 0.056398700758152696 0.14159838546503675 0.001979927827289857 0.9890922725118855 -0.040527195520633996
29 0.010285125246626422 0.03615662777084219 0.056396354097260425 0.14156834777934177 0.0019589803304313133 0.9890968113504277 -0.04052237751550246
30 0.010275360766296671 0.03615391833110289 0.056398660043006206 0.14159478800919434 0.001975534820651698 0.9890927648440947 -0.04052796323365191
31 0.010338122285074178 0.03615232474377717 0.056413536180151824 0.14153047439751254 0.0019367061023358918 0.989102617857 -0.040514014053380454
32 0.010282864795610067 0.0361507130261615 0.05640548293680877 0.14157011516671827 0.001961774301973047 0.9890965693401825 -0.040521974936468384
33 0.010282864795610067 0.0361507130261615 0.05640548293680877 0.14156923336765048 0.0019603960365888605 0.9890966902347896 -0.04052217143318063
34 0.010282872678263857 0.036150625213555145 0.05640539734569234 0.14157212753120624 0.0019661443114706886 0.9890962938582054 -0.04052145677041781
35 0.01028490532851788 0.03615635166274376 0.05639606713743944 0.14156846037991244 0.0019603796415547325 0.9890967960284386 -0.04052229045352015
36 0.010337998648886695 0.03615225944054669 0.056413384251978074 0.14152972220121712 0.001936671455758324 0.9891027194860416 -0.04051416224773269
37 0.010282880560917647 0.03615053740094879 0.05640531175457579 0.14157212753120624 0.0019661443114706886 0.9890962938582054 -0.04052145677041781
38 0.010282880560917647 0.03615053740094879 0.05640531175457579 0.14156758891973273 0.0019589709870891365 0.989096915251924 -0.040522493003928794
